Size,Linear Search,Binary Search
903, 843550, 31103
904, 842924, 32470
905, 870295, 33194
906, 803340, 33322
907, 863198, 32794
908, 814506, 32947
909, 839203, 35559
910, 901175, 33359
911, 847313, 33628
912, 941525, 34508
913, 951382, 37775
914, 863385, 35893
915, 1.05917e+06, 36704
916, 874569, 37466
917, 818864, 36235
918, 906092, 37395
919, 731454, 31445
920, 785998, 31277
921, 836410, 31235
922, 811768, 33684
923, 818650, 45355
924, 790940, 32758
925, 873256, 33728
926, 980689, 32400
927, 775702, 32835
928, 885114, 33307
929, 890374, 33698
930, 970266, 35511
931, 947213, 37441
932, 879710, 34241
933, 1.00914e+06, 38708
934, 907488, 58875
935, 980667, 36328
936, 937247, 33329
937, 848960, 31207
938, 861758, 31638
939, 949354, 32159
940, 813534, 33141
941, 786481, 32902
942, 914754, 32984
943, 814321, 34010
944, 898831, 33748
945, 941569, 33240
946, 925960, 32517
947, 915803, 51113
948, 973172, 39192
949, 951655, 37303
950, 1.05394e+06, 36499
951, 969656, 45278
952, 801808, 37232
953, 940835, 31305
954, 778076, 31471
955, 741430, 64750
956, 853288, 32112
957, 835590, 31946
958, 832456, 33402
959, 835986, 33770
960, 837664, 33573
961, 885504, 32845
962, 861843, 32759
963, 831621, 33745
964, 856018, 33805
965, 999806, 37283
966, 990069, 37583
967, 980465, 37545
968, 978340, 37553
969, 947505, 36546
970, 1.02688e+06, 35840
971, 910457, 31204
972, 825115, 31168
973, 911771, 33181
974, 895188, 32671
975, 893134, 32852
976, 858480, 33601
977, 827523, 33652
978, 851397, 33423
979, 930551, 33065
980, 900968, 32606
981, 961417, 32882
982, 1.04219e+06, 55077
983, 1.34891e+06, 39636
984, 896359, 36576
985, 995599, 38524
986, 1.07056e+06, 35736
987, 845379, 32047
988, 935371, 31816
989, 947341, 31607
990, 805191, 32227
991, 959852, 33351
992, 883969, 33912
993, 1.02111e+06, 32620
994, 922191, 33452
995, 955836, 33541
996, 946135, 33420
997, 871732, 33900
998, 1.07458e+06, 39542
999, 1.04638e+06, 35846
1000, 1.05188e+06, 59531
